ICD1;ICD2;Diagnose;Physio;Ergo;Logo;Hinweis
M80.3-;;Sollwertes Osteoporose mit pathologischer Fraktur infolge Malabsorption nach chirurgischem Eingri?;WS/EX;PS2;SC;längstens 6 Monate nach Akutereignis
M80.5-;;Sollwertes Idiopathische Osteoporose mit pathologischer Fraktur;WS/EX;PS2;SC;längstens 6 Monate nach Akutereignis
M80.8-;;Sollwertes Sonstige Osteoporose mit pathologischer Fraktur;WS/EX;PS2;SC;längstens 6 Monate nach Akutereignis
E74.0;;Sollwertes Glykogenspeicherkrankheiten [Glykogenose] GM2-Gangliosidose Mukopolysaccharidose, Typ I;ZN/PN/AT/WS/EX/CS/SO1;EN1/SB1/SB3;SC;längstens 6 Monate nach Akutereignis
E75.0;;Sollwertes Glykogenspeicherkrankheiten [Glykogenose] GM2-Gangliosidose Mukopolysaccharidose, Typ I;ZN/PN/AT/WS/EX/CS/SO1;EN1/SB1/SB3;SC;längstens 6 Monate nach Akutereignis
E76.0;;Sollwertes Glykogenspeicherkrankheiten [Glykogenose] GM2-Gangliosidose Mukopolysaccharidose, Typ I;ZN/PN/AT/WS/EX/CS/SO1;EN1/SB1/SB3;SC;längstens 6 Monate nach Akutereignis
E88.20;;Sollwertes Lipödem, Stadium I Lipödem, Stadium II Lipödem, Stadium III;LY;EN1/SB1/SB3;SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
E88.21;;Sollwertes Lipödem, Stadium I Lipödem, Stadium II Lipödem, Stadium III;LY;EN1/SB1/SB3;SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
E88.22;;Sollwertes Lipödem, Stadium I Lipödem, Stadium II Lipödem, Stadium III;LY;EN1/SB1/SB3;SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
E84.-;;Sollwertes Zystische Fibrose (Mukoviszidose);AT;CF;SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
U09.9;;Sollwertes Post-COVID Syndrom;WS/AT;SB1/PS2/PS3;SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T20.3;;Sollwertes Verbrennung 3. Grades des Kopfes und des Halses;LY/CS/EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T20.7;;Sollwertes Verätzung 3. Grades des Kopfes und des Halses;LY/CS/EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T21.3-;;Sollwertes Verbrennung 3. Grades des Rumpfes;LY/CS/;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T21.7-;;Sollwertes Verätzung 3. Grades des Rumpfes;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T22.3-;;Sollwertes Verbrennung 3. Grades der Schulter und des Armes, ausgenommen Handgelenk und Hand;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T22.7-;;Sollwertes Verätzung 3. Grades der Schulter und des Armes, ausgenommen Handgelenk und Hand;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T23.3;;Sollwertes Verbrennung 3. Grades des Handgelenkes und der Hand;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T23.7;;Sollwertes Verätzung 3. Grades des Handgelenkes und der Hand;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T24.3;;Sollwertes Verbrennung 3. Grades der Hüfte und des Beines, ausgenommen Knöchelregion und Fuß;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T24.7;;Sollwertes Verätzung 3. Grades der Hüfte und des;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T25.3;;Beines, ausgenommen Knöchelregion und Fuß Verbrennung 3. Grades der Knöchelregion und des Fußes;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T25.7;;Beines, ausgenommen Knöchelregion und Fuß Verätzung 3. Grades der Knöchelregion und des Fußes;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T29.3;;Beines, ausgenommen Knöchelregion und Fuß Verbrennungen mehrerer Körperregionen, wobei mindestens eine Verbrennung 3. Grades angegeben ist;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
T29.7;;Beines, ausgenommen Knöchelregion und Fuß Verätzungen mehrerer Körperregionen, wobei mindestens eine Verätzung 3.;EX/WS;SB2;ST1/SP6/SC;"nur im Zusammenhang mit komplexer physikalischer Entstauungstherapie (Manuelle Lymphdrainage, Kompressions-therapie, Übungs-behandlung/Be-wegungstherapie und Hautp?ege); es sind nicht immer alle Komponenten zeitgleich erforderlich !!! befristet bis 31.12.2027 !!!"
Z99.0;Z43.0;Grades angegeben ist Abhängigkeit (langzeit) vom Aspirator i.V.m. Versorgung eines Tracheostomas;EX/ZN/PN/AT/LY;EN1/EN2/EN3/SB1/SB2;SC/ST1;Unter Einbindung der Ärztinnen und Ärzte, die die medizinische
Z99.1;;Grades angegeben ist Abhängigkeit (langzeitig) vom Respirator;EX/ZN/PN/AT/LY;EN1/EN2/EN3/SB1/SB2;SC/ST1;Intensivp?ege koordinieren
